CCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,2.397940009,CCCCCCCCCCCCNCCOCOCOCOCOCCOCOCOCOCOCO,37
CCCCCCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,0.968482949,CCCCCCCCCCCCCCCCNCCOCOCOCOCOCCOCOCOCOCOCO,41
CCCCCCCCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,0.51851394,CCCCCCCCCCCCCCCCCCNCCOCOCOCOCOCCOCOCOCOCOCO,43
CCCCCCCCC=CCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,1.505149978,CCCCCCCCCCCCCCCCCCNCCOCOCOCOCOCO,32
CCCCCCCCC=CCCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,1.73239376,CCCCCCCCCCCCCCCCCCNCCOCOCOCOCOCCOCOCOCOCOCO,43
CCCCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,1.380211242,CCCCCCCCCCCCCCNCCOCOCOCOCOCO,28
CCCCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,1.556302501,CCCCCCCCCCCCCCNCCOCOCOCOCOCCOCOCOCOCOCO,39
CCCCCCCCCCCC(=O)N(C)CC(O)CO,2.361727836,CCCCCCCCCCCCONCCCOCO,20
CCCCCCCCCCCC(=O)N(C)CC(O)C(O)C(O)CO,2.556302501,CCCCCCCCCCCCONCCCOCOCOCO,24
CCCCCCCCCCOC1OC(CO)C(O)C(O)C1O,3.301029996,CCCCCCCCCCOCOCCOCOCOCO,22
CCCCCCCCCCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,3.301029996,CCCCCCCCCCOCOCCOCOCOCCOCOCOCOCOCO,33
CCCCCCCCCCCCOC1OC(CO)C(O)C(O)C1O,2.278753601,CCCCCCCCCCCCOCOCCOCOCOCO,24
CCCCCCCCC=CCCCCCCCC(=O)NCCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,1.954242509,CCCCCCCCCCCCCCCCCCONCCOCOCCOCOCOCCOCOCOCOCOCO,45
CCCCCCCCC=CCCCCCCCCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,1.301029996,CCCCCCCCCCCCCCCCCCOCOCCOCOCOCCOCOCOCOCOCO,41
CCCCCCCCC=CCCCCCCCCOC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C1O,1.62324929,CCCCCCCCCCCCCCCCCCOCOCCOCOCOCCOCOCOCCOCOCOCOCOCOCOCO,52
CCCCCCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,3.113943352,CCCCCCCCCCNCOCOCOCOCOCCOCOCOCOCOCO,34
CCCCCCCCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,2.491361694,CCCCCCCCCCCCNCOCOCOCOCOCCOCOCOCOCOCO,36
CCCCCCCCCCCCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,2.230448921,CCCCCCCCCCCCOCOCCOCOCOCCOCOCOCOCOCO,35
CCCCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,3.755874856,CCCCCCCCNCOCOCOCOCOCCOCOCOCOCOCO,32
CCCCCCCCCC(=O)N(C)CC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,3.51851394,CCCCCCCCCCONCCCOCOCOCOCCOCOCOCOCOCO,35
CCCCCCCCCCCC(=O)N(C)CC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,2.653212514,CCCCCCCCCCCCONCCCOCOCOCOCCOCOCOCOCOCO,37
CCCCCCCCCCCCCC(=O)N(C)CC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,1.832508913,CCCCCCCCCCCCCCONCCCOCOCOCOCCOCOCOCOCOCO,39
CCCCCCCCCOC1OC(CO)C(O)C(O)C1O,3.838849091,CCCCCCCCCOCOCCOCOCOCO,21
CCCCCCCCSC1OC(CO)C(O)C(O)C1O,3.929418926,CCCCCCCCSCOCCOCOCOCO,20
CCCCCCOCCOCCOCCO,5,CCCCCCOCCOCCOCCO,16
CCCCCCCCCCOCCOCCOCCO,2.77815125,CCCCCCCCCCOCCOCCOCCO,20
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,1.939519253,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,31
CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,4.113943352,CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,33
CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,3.113943352,CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,38
CCCCCCCC[N+](C)(C)C.[Br-],5.146128036,CCCCCCCCNCCCBr,14
CCCCCCCCCC[N+](C)(C)C.[Br-],4.832508913,CCCCCCCCCCNCCCBr,16
CCCCCCCCCC[N+](C)(C)C.[Cl-],4.832508913,CCCCCCCCCCNCCCCl,16
CCCCCCCCCCCC[N+](C)(C)C.[Br-],4.204119983,CCCCCCCCCCCCNCCCBr,18
CCCCCCCCCCCC[N+](C)(C)C.[Cl-],4.301029996,CCCCCCCCCCCCNCCCCl,18
CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],3.556302501,CCCCCCCCCCCCCCNCCCBr,20
CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],3.653212514,CCCCCCCCCCCCCCNCCCCl,20
CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],2.991226076,CCCCCCCCCCCCCCCCNCCCBr,22
CCCCCCCCCC[n+]1ccccc1.[Br-],4.643452676,CCCCCCCCCCncccccBr,18
CCCCCCCCCCC[n+]1ccccc1.[Br-],4.322219295,CCCCCCCCCCCncccccBr,19
CCCCCCCCCCCC[n+]1ccccc1.[Br-],4.056904851,CCCCCCCCCCCCncccccBr,20
CCCCCCCCCCCC[n+]1ccccc1.[Cl-],4.230448921,CCCCCCCCCCCCncccccCl,20
CCCCCCCCCCCC[n+]1ccccc1.[I-],3.72427587,CCCCCCCCCCCCncccccI,19
CCCCCCCCCCCCC[n+]1ccccc1.[Br-],3.72427587,CCCCCCCCCCCCCncccccBr,21
CCCCCCCCCCCCCC[n+]1ccccc1.[Br-],3.431363764,CCCCCCCCCCCCCCncccccBr,22
CCCCCCCCCCCCCC[n+]1ccccc1.[Cl-],3.544068044,CCCCCCCCCCCCCCncccccCl,22
CCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],3.113943352,CCCCCCCCCCCCCCCncccccBr,23
CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],2.806179974,CCCCCCCCCCCCCCCCncccccBr,24
CCCCCCCCCCCCCCCC[n+]1ccccc1.[Cl-],2.954242509,CCCCCCCCCCCCCCCCncccccCl,24
CCCCCCCCCCCCCCCCCC[n+]1ccccc1.[Cl-],2.380211242,CCCCCCCCCCCCCCCCCCncccccCl,26
CCCCCCCCCCCC[N+](C)(C)CC.[Br-],4.146128036,CCCCCCCCCCCCNCCCCBr,19
CCCCCCCCCCCC[N+](C)(C)CCCC.[Br-],3.875061263,CCCCCCCCCCCCNCCCCCCBr,21
CCCCCCCCCCCC[N+](C)(C)CCCCCC.[Br-],3.491361694,CCCCCCCCCCCCNCCCCCCCCBr,23
